"travel","date"
70190000,2017-01-01
69790000,2017-02-01
69680000,2017-03-01
70350000,2017-04-01
70720000,2017-05-01
70340000,2017-06-01
71140000,2017-07-01
71160000,2017-08-01
69380000,2017-09-01
72010000,2017-10-01
72300000,2017-11-01
72360000,2017-12-01
72480000,2018-01-01
73810000,2018-02-01
72960000,2018-03-01
74010000,2018-04-01
73770000,2018-05-01
74430000,2018-06-01
74430000,2018-07-01
74370000,2018-08-01
73790000,2018-09-01
74960000,2018-10-01
74790000,2018-11-01
75680000,2018-12-01
75080000,2019-01-01
76030000,2019-02-01
76960000,2019-03-01
76910000,2019-04-01
77020000,2019-05-01
77300000,2019-06-01
77260000,2019-07-01
77600000,2019-08-01
77740000,2019-09-01
77650000,2019-10-01
78830000,2019-11-01
78670000,2019-12-01
79690000,2020-01-01
78850000,2020-02-01
37600000,2020-03-01
3010000,2020-04-01
7660000,2020-05-01
15330000,2020-06-01
21230000,2020-07-01
23800000,2020-08-01
27030000,2020-09-01
29450000,2020-10-01
29660000,2020-11-01
31100000,2020-12-01
30730000,2021-01-01
31820000,2021-02-01
41240000,2021-03-01
47510000,2021-04-01
55470000,2021-05-01
60910000,2021-06-01
65270000,2021-07-01
